,gene_ids,feature_types
AC004704.1,ENSG00000249815,Gene Expression
FAM241A,ENSG00000174749,Gene Expression
AC109347.1,ENSG00000260526,Gene Expression
AP1AR,ENSG00000138660,Gene Expression
AC109347.2,ENSG00000272567,Gene Expression
TIFA,ENSG00000145365,Gene Expression
ALPK1,ENSG00000073331,Gene Expression
NEUROG2,ENSG00000178403,Gene Expression
AC023886.1,ENSG00000249509,Gene Expression
ZGRF1,ENSG00000138658,Gene Expression
LARP7,ENSG00000174720,Gene Expression
AC106864.1,ENSG00000249532,Gene Expression
AC106864.2,ENSG00000250046,Gene Expression
ANK2,ENSG00000145362,Gene Expression
AC017007.5,ENSG00000251126,Gene Expression
AC093879.1,ENSG00000248152,Gene Expression
AC093879.2,ENSG00000249373,Gene Expression
CAMK2D,ENSG00000145349,Gene Expression
ARSJ,ENSG00000180801,Gene Expression
AC104779.1,ENSG00000249304,Gene Expression
UGT8,ENSG00000174607,Gene Expression
NDST4,ENSG00000138653,Gene Expression
MTRNR2L13,ENSG00000270394,Gene Expression
AC106892.1,ENSG00000250791,Gene Expression
TRAM1L1,ENSG00000174599,Gene Expression
LINC02262,ENSG00000224932,Gene Expression
LINC02263,ENSG00000228358,Gene Expression
LINC01378,ENSG00000236922,Gene Expression
LINC02264,ENSG00000229565,Gene Expression
NDST3,ENSG00000164100,Gene Expression
SNHG8,ENSG00000269893,Gene Expression
PRSS12,ENSG00000164099,Gene Expression
AC110079.2,ENSG00000281731,Gene Expression
METTL14,ENSG00000145388,Gene Expression
SEC24D,ENSG00000150961,Gene Expression
SYNPO2,ENSG00000172403,Gene Expression
MYOZ2,ENSG00000172399,Gene Expression
USP53,ENSG00000145390,Gene Expression
C4orf3,ENSG00000164096,Gene Expression
FABP2,ENSG00000145384,Gene Expression
AC093752.3,ENSG00000260091,Gene Expression
AC093752.2,ENSG00000250950,Gene Expression
PDE5A,ENSG00000138735,Gene Expression
LINC01365,ENSG00000250772,Gene Expression
LINC02502,ENSG00000250392,Gene Expression
AC097173.2,ENSG00000253825,Gene Expression
MAD2L1,ENSG00000164109,Gene Expression
AC108866.1,ENSG00000250938,Gene Expression
AC025741.1,ENSG00000249409,Gene Expression
PRDM5,ENSG00000138738,Gene Expression
NDNF,ENSG00000173376,Gene Expression
AC105254.1,ENSG00000250344,Gene Expression
TNIP3,ENSG00000050730,Gene Expression
QRFPR,ENSG00000186867,Gene Expression
ANXA5,ENSG00000164111,Gene Expression
AC079341.3,ENSG00000284849,Gene Expression
TMEM155,ENSG00000164112,Gene Expression
AC079341.1,ENSG00000226757,Gene Expression
EXOSC9,ENSG00000123737,Gene Expression
CCNA2,ENSG00000145386,Gene Expression
BBS7,ENSG00000138686,Gene Expression
AC079341.2,ENSG00000261501,Gene Expression
TRPC3,ENSG00000138741,Gene Expression
KIAA1109,ENSG00000138688,Gene Expression
ADAD1,ENSG00000164113,Gene Expression
IL2,ENSG00000109471,Gene Expression
IL21,ENSG00000138684,Gene Expression
IL21-AS1,ENSG00000227145,Gene Expression
BBS12,ENSG00000181004,Gene Expression
FGF2,ENSG00000138685,Gene Expression
AC021205.3,ENSG00000273007,Gene Expression
NUDT6,ENSG00000170917,Gene Expression
SPATA5,ENSG00000145375,Gene Expression
SPRY1,ENSG00000164056,Gene Expression
AC093821.1,ENSG00000249125,Gene Expression
LINC02435,ENSG00000251526,Gene Expression
LINC01091,ENSG00000249464,Gene Expression
AC096732.1,ENSG00000226655,Gene Expression
AC121154.1,ENSG00000249837,Gene Expression
LINC02516,ENSG00000261083,Gene Expression
ANKRD50,ENSG00000151458,Gene Expression
FAT4,ENSG00000196159,Gene Expression
AC105919.1,ENSG00000250149,Gene Expression
LINC02379,ENSG00000251649,Gene Expression
AC096773.1,ENSG00000250945,Gene Expression
AC093772.1,ENSG00000248491,Gene Expression
INTU,ENSG00000164066,Gene Expression
SLC25A31,ENSG00000151475,Gene Expression
HSPA4L,ENSG00000164070,Gene Expression
AC093591.2,ENSG00000261668,Gene Expression
PLK4,ENSG00000142731,Gene Expression
MFSD8,ENSG00000164073,Gene Expression
ABHD18,ENSG00000164074,Gene Expression
LARP1B,ENSG00000138709,Gene Expression
PGRMC2,ENSG00000164040,Gene Expression
AC108062.1,ENSG00000251432,Gene Expression
AC110609.1,ENSG00000273077,Gene Expression
AC078850.1,ENSG00000248187,Gene Expression
AC078850.2,ENSG00000248802,Gene Expression
JADRR,ENSG00000280711,Gene Expression
JADE1,ENSG00000077684,Gene Expression
SCLT1,ENSG00000151466,Gene Expression
C4orf33,ENSG00000151470,Gene Expression
AC082650.1,ENSG00000250193,Gene Expression
LINC02466,ENSG00000246876,Gene Expression
LINC02465,ENSG00000249618,Gene Expression
LINC02479,ENSG00000251326,Gene Expression
AC093831.1,ENSG00000250503,Gene Expression
LINC02377,ENSG00000250102,Gene Expression
SNHG27,ENSG00000251676,Gene Expression
AC096711.2,ENSG00000251555,Gene Expression
AC096711.3,ENSG00000251598,Gene Expression
AC096711.1,ENSG00000249463,Gene Expression
AC114741.1,ENSG00000248369,Gene Expression
LINC01256,ENSG00000251398,Gene Expression
AC115622.1,ENSG00000251488,Gene Expression
AC110751.1,ENSG00000249513,Gene Expression
AC105383.1,ENSG00000250241,Gene Expression
PCDH10,ENSG00000138650,Gene Expression
AC079380.1,ENSG00000251388,Gene Expression
PABPC4L,ENSG00000254535,Gene Expression
AC109830.1,ENSG00000251199,Gene Expression
LINC02462,ENSG00000251291,Gene Expression
AC093722.1,ENSG00000249000,Gene Expression
AC104619.2,ENSG00000249847,Gene Expression
AC107463.1,ENSG00000248434,Gene Expression
LINC02485,ENSG00000248456,Gene Expression
AC105362.1,ENSG00000250865,Gene Expression
LINC00613,ENSG00000248330,Gene Expression
AC073429.2,ENSG00000261166,Gene Expression
AC018680.1,ENSG00000251567,Gene Expression
AC073429.1,ENSG00000250665,Gene Expression
LINC02511,ENSG00000248869,Gene Expression
LINC02510,ENSG00000250341,Gene Expression
PCDH18,ENSG00000189184,Gene Expression
LINC02172,ENSG00000251632,Gene Expression
AC116563.1,ENSG00000250126,Gene Expression
AC131956.2,ENSG00000250777,Gene Expression
AC131956.1,ENSG00000250034,Gene Expression
LINC00616,ENSG00000248307,Gene Expression
SLC7A11,ENSG00000151012,Gene Expression
AC093903.1,ENSG00000249091,Gene Expression
LINC00498,ENSG00000248397,Gene Expression
LINC00499,ENSG00000251372,Gene Expression
LINC00500,ENSG00000249381,Gene Expression
AC098859.2,ENSG00000250977,Gene Expression
AC093766.1,ENSG00000250501,Gene Expression
AC109927.1,ENSG00000250195,Gene Expression
AC109927.2,ENSG00000250577,Gene Expression
NOCT,ENSG00000151014,Gene Expression
ELF2,ENSG00000109381,Gene Expression
MGARP,ENSG00000137463,Gene Expression
NDUFC1,ENSG00000109390,Gene Expression
NAA15,ENSG00000164134,Gene Expression
AC097376.2,ENSG00000273247,Gene Expression
RAB33B,ENSG00000172007,Gene Expression
SETD7,ENSG00000145391,Gene Expression
AC112236.2,ENSG00000272717,Gene Expression
AC112236.1,ENSG00000261268,Gene Expression
MGST2,ENSG00000085871,Gene Expression
MAML3,ENSG00000196782,Gene Expression
AC131182.1,ENSG00000250698,Gene Expression
SCOC,ENSG00000153130,Gene Expression
SCOC-AS1,ENSG00000196951,Gene Expression
CLGN,ENSG00000153132,Gene Expression
MGAT4D,ENSG00000205301,Gene Expression
ELMOD2,ENSG00000179387,Gene Expression
UCP1,ENSG00000109424,Gene Expression
TBC1D9,ENSG00000109436,Gene Expression
AC096733.1,ENSG00000248335,Gene Expression
AC096733.2,ENSG00000273472,Gene Expression
RNF150,ENSG00000170153,Gene Expression
ZNF330,ENSG00000109445,Gene Expression
AC107220.1,ENSG00000248747,Gene Expression
LINC02432,ENSG00000248810,Gene Expression
AC097504.2,ENSG00000272632,Gene Expression
LINC02276,ENSG00000250141,Gene Expression
IL15,ENSG00000164136,Gene Expression
INPP4B,ENSG00000109452,Gene Expression
AC139720.2,ENSG00000251248,Gene Expression
AC139720.1,ENSG00000249806,Gene Expression
AC104596.1,ENSG00000250326,Gene Expression
USP38,ENSG00000170185,Gene Expression
AC097658.2,ENSG00000250969,Gene Expression
GAB1,ENSG00000109458,Gene Expression
SMARCA5,ENSG00000153147,Gene Expression
SMARCA5-AS1,ENSG00000245112,Gene Expression
FREM3,ENSG00000183090,Gene Expression
GYPE,ENSG00000197465,Gene Expression
GYPB,ENSG00000250361,Gene Expression
GYPA,ENSG00000170180,Gene Expression
AC106871.1,ENSG00000261129,Gene Expression
HHIP-AS1,ENSG00000248890,Gene Expression
HHIP,ENSG00000164161,Gene Expression
ANAPC10,ENSG00000164162,Gene Expression
AC109811.1,ENSG00000250406,Gene Expression
ABCE1,ENSG00000164163,Gene Expression
OTUD4,ENSG00000164164,Gene Expression
LINC02266,ENSG00000272727,Gene Expression
SMAD1,ENSG00000170365,Gene Expression
SMAD1-AS2,ENSG00000250582,Gene Expression
SMAD1-AS1,ENSG00000250902,Gene Expression
LINC02491,ENSG00000248686,Gene Expression
MMAA,ENSG00000151611,Gene Expression
AC093864.1,ENSG00000248356,Gene Expression
C4orf51,ENSG00000237136,Gene Expression
ZNF827,ENSG00000151612,Gene Expression
AC104791.1,ENSG00000251687,Gene Expression
AC108206.1,ENSG00000260303,Gene Expression
AC097372.2,ENSG00000251024,Gene Expression
LINC01095,ENSG00000248809,Gene Expression
LSM6,ENSG00000164167,Gene Expression
REELD1,ENSG00000250673,Gene Expression
AC097372.1,ENSG00000251010,Gene Expression
SLC10A7,ENSG00000120519,Gene Expression
POU4F2,ENSG00000151615,Gene Expression
TTC29,ENSG00000137473,Gene Expression
AC092435.2,ENSG00000248764,Gene Expression
AC092435.1,ENSG00000248346,Gene Expression
AC092435.3,ENSG00000260090,Gene Expression
EDNRA,ENSG00000151617,Gene Expression
LINC02507,ENSG00000251688,Gene Expression
AC093835.1,ENSG00000251298,Gene Expression
TMEM184C,ENSG00000164168,Gene Expression
PRMT9,ENSG00000164169,Gene Expression
ARHGAP10,ENSG00000071205,Gene Expression
NR3C2,ENSG00000151623,Gene Expression
AC069272.1,ENSG00000250354,Gene Expression
AC108935.1,ENSG00000250357,Gene Expression
AC108156.1,ENSG00000249752,Gene Expression
LINC02430,ENSG00000250252,Gene Expression
LINC02355,ENSG00000248210,Gene Expression
IQCM,ENSG00000234828,Gene Expression
AC093893.1,ENSG00000250905,Gene Expression
AC105343.1,ENSG00000250704,Gene Expression
DCLK2,ENSG00000170390,Gene Expression
LRBA,ENSG00000198589,Gene Expression
AC110813.1,ENSG00000249690,Gene Expression
MAB21L2,ENSG00000181541,Gene Expression
RPS3A,ENSG00000145425,Gene Expression
SH3D19,ENSG00000109686,Gene Expression
AC095055.1,ENSG00000270681,Gene Expression
PRSS48,ENSG00000189099,Gene Expression
AC104819.3,ENSG00000270265,Gene Expression
FAM160A1-DT,ENSG00000251611,Gene Expression
FAM160A1,ENSG00000164142,Gene Expression
AC092611.2,ENSG00000251603,Gene Expression
GATB,ENSG00000059691,Gene Expression
AC092611.1,ENSG00000251455,Gene Expression
AC107074.1,ENSG00000249184,Gene Expression
AC112242.1,ENSG00000249708,Gene Expression
AC097375.2,ENSG00000249818,Gene Expression
AC097375.1,ENSG00000248991,Gene Expression
LINC02273,ENSG00000245954,Gene Expression
AC079340.1,ENSG00000250706,Gene Expression
AC079340.2,ENSG00000251377,Gene Expression
AC080078.1,ENSG00000270302,Gene Expression
AC080078.2,ENSG00000270883,Gene Expression
FBXW7,ENSG00000109670,Gene Expression
FBXW7-AS1,ENSG00000270751,Gene Expression
TMEM154,ENSG00000170006,Gene Expression
AC106882.1,ENSG00000248571,Gene Expression
TIGD4,ENSG00000169989,Gene Expression
ARFIP1,ENSG00000164144,Gene Expression
FHDC1,ENSG00000137460,Gene Expression
AC093599.1,ENSG00000249022,Gene Expression
TRIM2,ENSG00000109654,Gene Expression
MND1,ENSG00000121211,Gene Expression
TMEM131L,ENSG00000121210,Gene Expression
TLR2,ENSG00000137462,Gene Expression
RNF175,ENSG00000145428,Gene Expression
AC020703.1,ENSG00000249309,Gene Expression
SFRP2,ENSG00000145423,Gene Expression
AC079298.3,ENSG00000280241,Gene Expression
DCHS2,ENSG00000197410,Gene Expression
AC079298.1,ENSG00000278981,Gene Expression
AC079298.2,ENSG00000280005,Gene Expression
PLRG1,ENSG00000171566,Gene Expression
FGB,ENSG00000171564,Gene Expression
FGA,ENSG00000171560,Gene Expression
FGG,ENSG00000171557,Gene Expression
LRAT,ENSG00000121207,Gene Expression
AC009567.1,ENSG00000249041,Gene Expression
RBM46,ENSG00000151962,Gene Expression
AC097467.3,ENSG00000250910,Gene Expression
AC104407.1,ENSG00000250538,Gene Expression
NPY2R,ENSG00000185149,Gene Expression
AC097467.1,ENSG00000249924,Gene Expression
MAP9,ENSG00000164114,Gene Expression
AC107208.1,ENSG00000251244,Gene Expression
GUCY1A1,ENSG00000164116,Gene Expression
GUCY1B1,ENSG00000061918,Gene Expression
ASIC5,ENSG00000256394,Gene Expression
TDO2,ENSG00000151790,Gene Expression
CTSO,ENSG00000256043,Gene Expression
AC096736.3,ENSG00000251511,Gene Expression
LINC02272,ENSG00000251283,Gene Expression
AC096736.2,ENSG00000249479,Gene Expression
AC096736.1,ENSG00000248912,Gene Expression
PDGFC,ENSG00000145431,Gene Expression
AC092608.1,ENSG00000248629,Gene Expression
GLRB,ENSG00000109738,Gene Expression
GRIA2,ENSG00000120251,Gene Expression
LINC02433,ENSG00000234111,Gene Expression
AC093817.1,ENSG00000249275,Gene Expression
FAM198B,ENSG00000164125,Gene Expression
FAM198B-AS1,ENSG00000248429,Gene Expression
AC098679.1,ENSG00000250604,Gene Expression
TMEM144,ENSG00000164124,Gene Expression
RXFP1,ENSG00000171509,Gene Expression
AC121161.2,ENSG00000249901,Gene Expression
C4orf46,ENSG00000205208,Gene Expression
ETFDH,ENSG00000171503,Gene Expression
PPID,ENSG00000171497,Gene Expression
FNIP2,ENSG00000052795,Gene Expression
C4orf45,ENSG00000164123,Gene Expression
RAPGEF2,ENSG00000109756,Gene Expression
AC074344.2,ENSG00000250180,Gene Expression
LINC02233,ENSG00000250488,Gene Expression
LINC02477,ENSG00000249425,Gene Expression
AC104793.1,ENSG00000249568,Gene Expression
FSTL5,ENSG00000168843,Gene Expression
AC023136.1,ENSG00000249419,Gene Expression
AC005150.1,ENSG00000248431,Gene Expression
AC022272.1,ENSG00000250027,Gene Expression
NAF1,ENSG00000145414,Gene Expression
NPY1R,ENSG00000164128,Gene Expression
NPY5R,ENSG00000164129,Gene Expression
TKTL2,ENSG00000151005,Gene Expression
TMA16,ENSG00000198498,Gene Expression
MARCH1,ENSG00000145416,Gene Expression
AC093788.1,ENSG00000273449,Gene Expression
SMIM31,ENSG00000248771,Gene Expression
APELA,ENSG00000248329,Gene Expression
TRIM61,ENSG00000183439,Gene Expression
FAM218A,ENSG00000250486,Gene Expression
AC106872.10,ENSG00000250887,Gene Expression
TRIM60,ENSG00000176979,Gene Expression
TRIM75P,ENSG00000250374,Gene Expression
TMEM192,ENSG00000170088,Gene Expression
KLHL2,ENSG00000109466,Gene Expression
GK3P,ENSG00000229894,Gene Expression
MSMO1,ENSG00000052802,Gene Expression
CPE,ENSG00000109472,Gene Expression
LINC01179,ENSG00000249500,Gene Expression
TLL1,ENSG00000038295,Gene Expression
AC097487.1,ENSG00000249675,Gene Expression
SPOCK3,ENSG00000196104,Gene Expression
AC079349.1,ENSG00000250150,Gene Expression
AC116634.1,ENSG00000248601,Gene Expression
ANXA10,ENSG00000109511,Gene Expression
DDX60,ENSG00000137628,Gene Expression
DDX60L,ENSG00000181381,Gene Expression
PALLD,ENSG00000129116,Gene Expression
AC079858.1,ENSG00000249623,Gene Expression
AC080188.1,ENSG00000249609,Gene Expression
CBR4,ENSG00000145439,Gene Expression
AC021151.1,ENSG00000251445,Gene Expression
SH3RF1,ENSG00000154447,Gene Expression
AC096741.1,ENSG00000251171,Gene Expression
NEK1,ENSG00000137601,Gene Expression
CLCN3,ENSG00000109572,Gene Expression
HPF1,ENSG00000056050,Gene Expression
LINC02275,ENSG00000248319,Gene Expression
AC084866.2,ENSG00000251200,Gene Expression
AC084866.1,ENSG00000249955,Gene Expression
MFAP3L,ENSG00000198948,Gene Expression
AADAT,ENSG00000109576,Gene Expression
LINC01612,ENSG00000250266,Gene Expression
LINC02512,ENSG00000251061,Gene Expression
LINC02382,ENSG00000250968,Gene Expression
LINC02431,ENSG00000248872,Gene Expression
LINC02504,ENSG00000248339,Gene Expression
AC074254.1,ENSG00000251176,Gene Expression
LINC02174,ENSG00000249297,Gene Expression
GALNTL6,ENSG00000174473,Gene Expression
AC105285.1,ENSG00000245213,Gene Expression
GALNT7,ENSG00000109586,Gene Expression
AC097534.1,ENSG00000248774,Gene Expression
HMGB2,ENSG00000164104,Gene Expression
AC097534.2,ENSG00000272870,Gene Expression
SAP30,ENSG00000164105,Gene Expression
SCRG1,ENSG00000164106,Gene Expression
AC093849.1,ENSG00000261646,Gene Expression
HAND2,ENSG00000164107,Gene Expression
HAND2-AS1,ENSG00000237125,Gene Expression
AC106895.1,ENSG00000250043,Gene Expression
LINC02269,ENSG00000250708,Gene Expression
AC106895.2,ENSG00000251216,Gene Expression
LINC02268,ENSG00000248174,Gene Expression
AC012055.1,ENSG00000250957,Gene Expression
AC012055.2,ENSG00000251213,Gene Expression
FBXO8,ENSG00000164117,Gene Expression
CEP44,ENSG00000164118,Gene Expression
AC116616.1,ENSG00000249875,Gene Expression
HPGD,ENSG00000164120,Gene Expression
AC096751.2,ENSG00000251584,Gene Expression
GLRA3,ENSG00000145451,Gene Expression
ADAM29,ENSG00000168594,Gene Expression
AC105914.2,ENSG00000250431,Gene Expression
AC095050.1,ENSG00000248551,Gene Expression
AC131094.1,ENSG00000249945,Gene Expression
GPM6A,ENSG00000150625,Gene Expression
AC097537.1,ENSG00000249106,Gene Expression
WDR17,ENSG00000150627,Gene Expression
SPATA4,ENSG00000150628,Gene Expression
ASB5,ENSG00000164122,Gene Expression
AC019163.1,ENSG00000248980,Gene Expression
SPCS3,ENSG00000129128,Gene Expression
AC093801.1,ENSG00000248388,Gene Expression
VEGFC,ENSG00000150630,Gene Expression
AC092673.1,ENSG00000249458,Gene Expression
LINC02509,ENSG00000250263,Gene Expression
AC097518.1,ENSG00000249008,Gene Expression
NEIL3,ENSG00000109674,Gene Expression
AC027627.1,ENSG00000249084,Gene Expression
AGA,ENSG00000038002,Gene Expression
AC078881.1,ENSG00000250131,Gene Expression
AC103879.1,ENSG00000251416,Gene Expression
LINC01098,ENSG00000231171,Gene Expression
LINC01099,ENSG00000251504,Gene Expression
AC020551.1,ENSG00000250993,Gene Expression
AC104803.1,ENSG00000249883,Gene Expression
LINC00290,ENSG00000248197,Gene Expression
LINC02500,ENSG00000249460,Gene Expression
TEMN3-AS1,ENSG00000251336,Gene Expression
AC098864.1,ENSG00000177822,Gene Expression
TENM3,ENSG00000218336,Gene Expression
AC079226.2,ENSG00000248816,Gene Expression
AC079226.1,ENSG00000248694,Gene Expression
AC079766.1,ENSG00000272646,Gene Expression
DCTD,ENSG00000129187,Gene Expression
AC019193.3,ENSG00000273180,Gene Expression
AC019193.2,ENSG00000272784,Gene Expression
WWC2-AS2,ENSG00000251359,Gene Expression
WWC2,ENSG00000151718,Gene Expression
WWC2-AS1,ENSG00000251128,Gene Expression
CLDN22,ENSG00000177300,Gene Expression
CLDN24,ENSG00000185758,Gene Expression
CDKN2AIP,ENSG00000168564,Gene Expression
AC107214.1,ENSG00000232648,Gene Expression
ING2,ENSG00000168556,Gene Expression
AC107214.2,ENSG00000272744,Gene Expression
RWDD4,ENSG00000182552,Gene Expression
TRAPPC11,ENSG00000168538,Gene Expression
AC108477.1,ENSG00000283383,Gene Expression
STOX2,ENSG00000173320,Gene Expression
ENPP6,ENSG00000164303,Gene Expression
LINC02363,ENSG00000180712,Gene Expression
LINC02362,ENSG00000249096,Gene Expression
IRF2,ENSG00000168310,Gene Expression
LINC02427,ENSG00000271538,Gene Expression
LINC02365,ENSG00000254233,Gene Expression
CASP3,ENSG00000164305,Gene Expression
PRIMPOL,ENSG00000164306,Gene Expression
CENPU,ENSG00000151725,Gene Expression
ACSL1,ENSG00000151726,Gene Expression
AC084871.2,ENSG00000251139,Gene Expression
MIR3945HG,ENSG00000251230,Gene Expression
LINC01093,ENSG00000249173,Gene Expression
LINC02437,ENSG00000248517,Gene Expression
HELT,ENSG00000187821,Gene Expression
LINC02436,ENSG00000250754,Gene Expression
SLC25A4,ENSG00000151729,Gene Expression
CFAP97,ENSG00000164323,Gene Expression
SNX25,ENSG00000109762,Gene Expression
LRP2BP,ENSG00000109771,Gene Expression
AC112722.1,ENSG00000250410,Gene Expression
ANKRD37,ENSG00000186352,Gene Expression
UFSP2,ENSG00000109775,Gene Expression
C4orf47,ENSG00000205129,Gene Expression
CCDC110,ENSG00000168491,Gene Expression
AC106897.1,ENSG00000249679,Gene Expression
PDLIM3,ENSG00000154553,Gene Expression
SORBS2,ENSG00000154556,Gene Expression
AC093797.1,ENSG00000233110,Gene Expression
AC108472.1,ENSG00000235902,Gene Expression
AC096659.1,ENSG00000235149,Gene Expression
TLR3,ENSG00000164342,Gene Expression
FAM149A,ENSG00000109794,Gene Expression
CYP4V2,ENSG00000145476,Gene Expression
KLKB1,ENSG00000164344,Gene Expression
F11,ENSG00000088926,Gene Expression
F11-AS1,ENSG00000251165,Gene Expression
AC018709.1,ENSG00000272297,Gene Expression
MTNR1A,ENSG00000168412,Gene Expression
FAT1,ENSG00000083857,Gene Expression
AC108865.1,ENSG00000250829,Gene Expression
AC108865.2,ENSG00000272218,Gene Expression
AC110772.1,ENSG00000249742,Gene Expression
AC108474.1,ENSG00000250971,Gene Expression
