,gene_ids,n_cells
ZNF318,ENSG00000171467,47
ABCC10,ENSG00000124574,30
TJAP1,ENSG00000137221,51
POLR1C,ENSG00000171453,58
YIPF3,ENSG00000137207,269
XPO5,ENSG00000124571,22
POLH,ENSG00000170734,25
GTPBP2,ENSG00000172432,23
MAD2L1BP,ENSG00000124688,68
RSPH9,ENSG00000172426,6
MRPS18A,ENSG00000096080,167
VEGFA,ENSG00000112715,10
MRPL14,ENSG00000180992,421
TMEM63B,ENSG00000137216,20
SLC29A1,ENSG00000112759,39
HSP90AB1,ENSG00000096384,1282
SLC35B2,ENSG00000157593,82
NFKBIE,ENSG00000146232,63
AARS2,ENSG00000124608,15
CDC5L,ENSG00000096401,211
SUPT3H,ENSG00000196284,139
RUNX2,ENSG00000124813,47
RP1-244F24.1,ENSG00000271857,4
CLIC5,ENSG00000112782,5
RP1-8B1.4,ENSG00000231769,15
ENPP4,ENSG00000001561,27
ENPP5,ENSG00000112796,16
PLA2G7,ENSG00000146070,42
TNFRSF21,ENSG00000146072,3
RP11-385F7.1,ENSG00000270761,8
CD2AP,ENSG00000198087,56
MUT,ENSG00000146085,36
CENPQ,ENSG00000031691,27
MCM3,ENSG00000112118,143
PAQR8,ENSG00000170915,53
EFHC1,ENSG00000096093,49
TRAM2,ENSG00000065308,19
TRAM2-AS1,ENSG00000225791,10
TMEM14A,ENSG00000096092,81
GSTA4,ENSG00000170899,29
ICK,ENSG00000112144,14
FBXO9,ENSG00000112146,121
ELOVL5,ENSG00000012660,441
GCLC,ENSG00000001084,23
LRRC1,ENSG00000137269,5
DST,ENSG00000151914,10
KIAA1586,ENSG00000168116,28
ZNF451,ENSG00000112200,83
BAG2,ENSG00000112208,69
RAB23,ENSG00000112210,4
PRIM2,ENSG00000146143,46
XXbac-BPGBPG55C20.2,ENSG00000272316,14
KHDRBS2,ENSG00000112232,3
FKBP1C,ENSG00000198225,12
PTP4A1,ENSG00000112245,302
RP5-1148A21.3,ENSG00000266680,7
PHF3,ENSG00000118482,200
RP3-525N10.2,ENSG00000230910,14
LMBRD1,ENSG00000168216,148
COL19A1,ENSG00000082293,15
FAM135A,ENSG00000082269,12
C6orf57,ENSG00000154079,21
SMAP1,ENSG00000112305,243
B3GAT2,ENSG00000112309,15
OGFRL1,ENSG00000119900,52
KCNQ5,ENSG00000185760,4
KHDC1,ENSG00000135314,14
RP11-398K22.12,ENSG00000229852,10
OOEP,ENSG00000203907,4
DDX43,ENSG00000080007,21
MB21D1,ENSG00000164430,39
MTO1,ENSG00000135297,95
RP11-505P4.6,ENSG00000223821,3
EEF1A1,ENSG00000156508,2671
SLC17A5,ENSG00000119899,33
COX7A2,ENSG00000112695,1078
TMEM30A,ENSG00000112697,203
RP1-234P15.4,ENSG00000225793,5
SENP6,ENSG00000112701,142
MYO6,ENSG00000196586,17
IRAK1BP1,ENSG00000146243,8
PHIP,ENSG00000146247,219
HMGN3,ENSG00000118418,641
HMGN3-AS1,ENSG00000270362,9
SH3BGRL2,ENSG00000198478,9
ELOVL4,ENSG00000118402,21
BCKDHB,ENSG00000083123,63
FAM46A,ENSG00000112773,177
IBTK,ENSG00000005700,81
TPBG,ENSG00000146242,4
UBE3D,ENSG00000118420,39
DOPEY1,ENSG00000083097,25
PGM3,ENSG00000013375,18
RWDD2A,ENSG00000013392,23
ME1,ENSG00000065833,5
CYB5R4,ENSG00000065615,279
KIAA1009,ENSG00000135315,22
NT5E,ENSG00000135318,35
SNX14,ENSG00000135317,121
SYNCRIP,ENSG00000135316,209
RP1-3J17.3,ENSG00000236016,161
RP11-393I2.4,ENSG00000272008,5
ZNF292,ENSG00000188994,128
SMIM8,ENSG00000111850,45
RP1-102H19.8,ENSG00000226524,18
SLC35A1,ENSG00000164414,79
RARS2,ENSG00000146282,117
ORC3,ENSG00000135336,54
AKIRIN2,ENSG00000135334,349
RNGTT,ENSG00000111880,55
PNRC1,ENSG00000146278,1504
PM20D2,ENSG00000146281,34
UBE2J1,ENSG00000198833,307
RRAGD,ENSG00000025039,10
ANKRD6,ENSG00000135299,6
LYRM2,ENSG00000083099,176
MDN1,ENSG00000112159,37
BACH2,ENSG00000112182,58
MAP3K7,ENSG00000135341,89
MANEA-AS1,ENSG00000261366,15
MANEA,ENSG00000172469,26
UFL1,ENSG00000014123,146
GPR63,ENSG00000112218,5
NDUFAF4,ENSG00000123545,183
KLHL32,ENSG00000186231,5
MMS22L,ENSG00000146263,26
FBXL4,ENSG00000112234,55
COQ3,ENSG00000132423,35
PNISR,ENSG00000132424,1006
RP11-98I9.4,ENSG00000228506,10
USP45,ENSG00000123552,12
TSTD3,ENSG00000228439,9
CCNC,ENSG00000112237,258
ASCC3,ENSG00000112249,91
RP3-467N11.1,ENSG00000260000,15
HACE1,ENSG00000085382,15
PREP,ENSG00000085377,94
PRDM1,ENSG00000057657,47
ATG5,ENSG00000057663,223
AIM1,ENSG00000112297,141
RTN4IP1,ENSG00000130347,27
QRSL1,ENSG00000130348,180
C6orf203,ENSG00000130349,83
PDSS2,ENSG00000164494,75
SOBP,ENSG00000112320,6
SCML4,ENSG00000146285,196
SEC63,ENSG00000025796,200
RP1-191J18.66,ENSG00000272476,6
OSTM1,ENSG00000081087,138
SNX3,ENSG00000112335,1246
LACE1,ENSG00000135537,18
FOXO3,ENSG00000118689,78
ARMC2,ENSG00000118690,24
SESN1,ENSG00000080546,70
RP11-787I22.3,ENSG00000271730,3
CEP57L1,ENSG00000183137,29
CD164,ENSG00000135535,926
RP11-425D10.10,ENSG00000260273,10
PPIL6,ENSG00000185250,5
SMPD2,ENSG00000135587,52
MICAL1,ENSG00000135596,148
ZBTB24,ENSG00000112365,101
AK9,ENSG00000155085,38
FIG4,ENSG00000112367,71
CDC40,ENSG00000168438,237
DDO,ENSG00000203797,5
CDK19,ENSG00000155111,52
AMD1,ENSG00000123505,329
GTF3C6,ENSG00000155115,403
RPF2,ENSG00000197498,96
SLC16A10,ENSG00000112394,4
KIAA1919,ENSG00000173214,25
RP5-1112D6.4,ENSG00000230177,3
REV3L,ENSG00000009413,48
TRAF3IP2-AS1,ENSG00000231889,12
TRAF3IP2,ENSG00000056972,29
FYN,ENSG00000010810,445
TUBE1,ENSG00000074935,58
FAM229B,ENSG00000203778,21
MARCKS,ENSG00000155130,75
HDAC2,ENSG00000196591,224
RP3-399L15.3,ENSG00000228624,4
NT5DC1,ENSG00000178425,216
TSPYL4,ENSG00000187189,55
DSE,ENSG00000111817,42
RP3-486I3.7,ENSG00000237021,3
TSPYL1,ENSG00000189241,225
FAM26F,ENSG00000188820,611
RWDD1,ENSG00000111832,691
ZUFSP,ENSG00000153975,54
KPNA5,ENSG00000196911,59
GOPC,ENSG00000047932,107
DCBLD1,ENSG00000164465,40
NUS1,ENSG00000153989,93
CEP85L,ENSG00000111860,71
MCM9,ENSG00000111877,28
ASF1A,ENSG00000111875,313
MAN1A1,ENSG00000111885,12
TBC1D32,ENSG00000146350,16
HSF2,ENSG00000025156,60
SERINC1,ENSG00000111897,299
PKIB,ENSG00000135549,11
SMPDL3A,ENSG00000172594,39
RNF217,ENSG00000146373,6
HDDC2,ENSG00000111906,386
NCOA7,ENSG00000111912,67
HINT3,ENSG00000111911,74
TRMT11,ENSG00000066651,51
CENPW,ENSG00000203760,26
RNF146,ENSG00000118518,96
ECHDC1,ENSG00000093144,290
THEMIS,ENSG00000172673,149
PTPRK,ENSG00000152894,21
ARHGAP18,ENSG00000146376,41
L3MBTL3,ENSG00000198945,38
RP11-73O6.3,ENSG00000227678,6
SAMD3,ENSG00000164483,316
TMEM200A,ENSG00000164484,5
EPB41L2,ENSG00000079819,17
AKAP7,ENSG00000118507,102
MED23,ENSG00000112282,51
CTAGE9,ENSG00000236761,3
LINC01013,ENSG00000228495,10
STX7,ENSG00000079950,331
VNN1,ENSG00000112299,18
VNN3,ENSG00000093134,4
VNN2,ENSG00000112303,99
SLC18B1,ENSG00000146409,59
RPS12,ENSG00000112306,2680
TBPL1,ENSG00000028839,185
SGK1,ENSG00000118515,114
HBS1L,ENSG00000112339,87
MYB,ENSG00000118513,14
AHI1,ENSG00000135541,46
MTFR2,ENSG00000146410,4
BCLAF1,ENSG00000029363,279
MAP7,ENSG00000135525,8
RP3-325F22.5,ENSG00000272189,12
MAP3K5,ENSG00000197442,31
PEX7,ENSG00000112357,46
IFNGR1,ENSG00000027697,246
RP11-356I2.4,ENSG00000237499,52
TNFAIP3,ENSG00000118503,438
PERP,ENSG00000112378,59
HEBP2,ENSG00000051620,172
NHSL1,ENSG00000135540,4
RP11-390P2.4,ENSG00000225177,18
CCDC28A,ENSG00000024862,229
REPS1,ENSG00000135597,84
ABRACL,ENSG00000146386,757
HECA,ENSG00000112406,107
CITED2,ENSG00000164442,612
VTA1,ENSG00000009844,130
GPR126,ENSG00000112414,4
HIVEP2,ENSG00000010818,83
RP11-439L18.2,ENSG00000224460,3
AIG1,ENSG00000146416,119
ADAT2,ENSG00000189007,9
PEX3,ENSG00000034693,86
RP1-20N2.6,ENSG00000229036,5
FUCA2,ENSG00000001036,112
PHACTR2,ENSG00000112419,73
LTV1,ENSG00000135521,153
PLAGL1,ENSG00000118495,21
SF3B5,ENSG00000169976,1055
STX11,ENSG00000135604,357
UTRN,ENSG00000152818,233
EPM2A,ENSG00000112425,3
RP3-466P17.1,ENSG00000270638,3
FBXO30,ENSG00000118496,13
RP11-545I5.3,ENSG00000235652,6
SHPRH,ENSG00000146414,66
RAB32,ENSG00000118508,229
STXBP5,ENSG00000164506,14
UST,ENSG00000111962,5
TAB2,ENSG00000055208,83
SUMO4,ENSG00000177688,3
ZC3H12D,ENSG00000178199,23
PPIL4,ENSG00000131013,94
GINM1,ENSG00000055211,156
KATNA1,ENSG00000186625,92
LATS1,ENSG00000131023,73
NUP43,ENSG00000120253,43
PCMT1,ENSG00000120265,609
PLEKHG1,ENSG00000120278,13
MTHFD1L,ENSG00000120254,24
ZBTB2,ENSG00000181472,82
RMND1,ENSG00000155906,49
C6orf211,ENSG00000146476,111
SYNE1,ENSG00000131018,146
FBXO5,ENSG00000112029,19
MTRF1L,ENSG00000112031,44
IPCEF1,ENSG00000074706,107
SCAF8,ENSG00000213079,39
TIAM2,ENSG00000146426,6
TFB1M,ENSG00000029639,66
ARID1B,ENSG00000049618,36
TMEM242,ENSG00000215712,204
ZDHHC14,ENSG00000175048,13
SNX9,ENSG00000130340,116
RP11-52J3.3,ENSG00000234361,25
SYNJ2,ENSG00000078269,18
SERAC1,ENSG00000122335,10
GTF2H5,ENSG00000272047,137
RP11-732M18.3,ENSG00000236537,6
TULP4,ENSG00000130338,32
TMEM181,ENSG00000146433,36
DYNLT1,ENSG00000146425,515
SYTL3,ENSG00000164674,84
EZR,ENSG00000092820,527
C6orf99,ENSG00000203711,5
RSPH3,ENSG00000130363,16
RP1-111C20.4,ENSG00000271913,11
TAGAP,ENSG00000164691,494
RP11-13P5.1,ENSG00000224478,3
SOD2,ENSG00000112096,543
WTAP,ENSG00000146457,490
ACAT2,ENSG00000120437,171
TCP1,ENSG00000120438,458
MRPL18,ENSG00000112110,525
IGF2R,ENSG00000197081,62
RP11-288H12.4,ENSG00000270949,7
RP3-428L16.2,ENSG00000272841,14
MAP3K4,ENSG00000085511,58
AGPAT4,ENSG00000026652,54
PARK2,ENSG00000185345,4
CAHM,ENSG00000270419,16
QKI,ENSG00000112531,95
SFT2D1,ENSG00000198818,399
MPC1,ENSG00000060762,418
RP1-168L15.5,ENSG00000261420,5
RPS6KA2,ENSG00000071242,10
RP11-514O12.4,ENSG00000249141,18
RNASET2,ENSG00000026297,1334
FGFR1OP,ENSG00000213066,46
CCR6,ENSG00000112486,75
MLLT4,ENSG00000130396,4
WDR27,ENSG00000184465,28
C6orf120,ENSG00000185127,47
PHF10,ENSG00000130024,49
RP1-266L20.2,ENSG00000232640,5
ERMARD,ENSG00000130023,34
RP5-894D12.3,ENSG00000227508,5
DLL1,ENSG00000198719,8
FAM120B,ENSG00000112584,100
PSMB1,ENSG00000008018,1253
TBP,ENSG00000112592,81
PDCD2,ENSG00000071994,526
AC093627.10,ENSG00000240859,20
FAM20C,ENSG00000177706,11
AC147651.3,ENSG00000223855,13
PRKAR1B,ENSG00000188191,41
AC147651.4,ENSG00000237181,18
HEATR2,ENSG00000164818,13
SUN1,ENSG00000164828,85
GET4,ENSG00000239857,16
ADAP1,ENSG00000105963,69
COX19,ENSG00000240230,257
C7orf50,ENSG00000146540,431
GPR146,ENSG00000164849,23
GPER1,ENSG00000164850,3
ZFAND2A,ENSG00000178381,103
AC091729.9,ENSG00000229043,22
MICALL2,ENSG00000164877,5
INTS1,ENSG00000164880,42
MAFK,ENSG00000198517,37
PSMG3,ENSG00000157778,191
PSMG3-AS1,ENSG00000230487,11
MAD1L1,ENSG00000002822,273
FTSJ2,ENSG00000122687,125
NUDT1,ENSG00000106268,268
SNX8,ENSG00000106266,47
EIF3B,ENSG00000106263,114
CHST12,ENSG00000136213,316
LFNG,ENSG00000106003,120
BRAT1,ENSG00000106009,79
IQCE,ENSG00000106012,13
TTYH3,ENSG00000136295,84
AMZ1,ENSG00000174945,4
GNA12,ENSG00000146535,24
CARD11,ENSG00000198286,81
FOXK1,ENSG00000164916,39
AP5Z1,ENSG00000242802,100
RBAK-RBAKDN,ENSG00000272968,53
RBAK,ENSG00000146587,8
WIPI2,ENSG00000157954,274
TNRC18,ENSG00000182095,31
FBXL18,ENSG00000155034,11
ACTB,ENSG00000075624,2677
FSCN1,ENSG00000075618,6
RNF216,ENSG00000011275,162
OCM,ENSG00000122543,6
CCZ1,ENSG00000122674,341
PMS2,ENSG00000122512,30
AIMP2,ENSG00000106305,137
EIF2AK1,ENSG00000086232,248
USP42,ENSG00000106346,43
CYTH3,ENSG00000008256,5
FAM220A,ENSG00000178397,24
RAC1,ENSG00000136238,1177
DAGLB,ENSG00000164535,42
KDELR2,ENSG00000136240,484
FLJ20306,ENSG00000269781,7
ZDHHC4,ENSG00000136247,176
C7orf26,ENSG00000146576,140
RP11-611L7.1,ENSG00000260054,31
ZNF12,ENSG00000164631,19
CCZ1B,ENSG00000146574,26
C1GALT1,ENSG00000106392,160
RP5-1159O4.1,ENSG00000272894,7
MIOS,ENSG00000164654,57
RPA3,ENSG00000106399,291
RPA3-AS1,ENSG00000219545,102
AC009473.1,ENSG00000234141,4
GLCCI1,ENSG00000106415,44
ICA1,ENSG00000003147,33
NDUFA4,ENSG00000189043,1410
PHF14,ENSG00000106443,287
TMEM106B,ENSG00000106460,176
VWDE,ENSG00000146530,5
SCIN,ENSG00000006747,3
ARL4A,ENSG00000122644,414
ANKMY2,ENSG00000106524,40
BZW2,ENSG00000136261,232
TSPAN13,ENSG00000106537,125
AC003075.4,ENSG00000237773,28
AHR,ENSG00000106546,55
SNX13,ENSG00000071189,58
HDAC9,ENSG00000048052,44
TWISTNB,ENSG00000105849,158
CTA-293F17.1,ENSG00000271133,3
SP4,ENSG00000105866,49
CDCA7L,ENSG00000164649,92
STEAP1B,ENSG00000105889,4
AC073072.5,ENSG00000179428,4
IL6,ENSG00000136244,24
TOMM7,ENSG00000196683,2089
FAM126A,ENSG00000122591,48
KLHL7,ENSG00000122550,57
NUPL2,ENSG00000136243,163
AC005082.12,ENSG00000226816,20
MALSU1,ENSG00000156928,181
IGF2BP3,ENSG00000136231,4
TRA2A,ENSG00000164548,215
CCDC126,ENSG00000169193,82
FAM221A,ENSG00000188732,23
MPP6,ENSG00000105926,33
OSBPL3,ENSG00000070882,33
CYCS,ENSG00000172115,852
C7orf31,ENSG00000153790,33
NFE2L3,ENSG00000050344,17
HNRNPA2B1,ENSG00000122566,1706
CBX3,ENSG00000122565,527
SNX10,ENSG00000086300,260
AC004540.4,ENSG00000225792,3
AC004540.5,ENSG00000214870,3
SKAP2,ENSG00000005020,166
HOTAIRM1,ENSG00000233429,168
HOXA-AS2,ENSG00000253552,3
HOXA5,ENSG00000106004,4
HOXA9,ENSG00000078399,8
HOXA10,ENSG00000253293,5
HIBADH,ENSG00000106049,107
TAX1BP1,ENSG00000106052,398
JAZF1,ENSG00000153814,61
CREB5,ENSG00000146592,18
CPVL,ENSG00000106066,309
CHN2,ENSG00000106069,40
SCRN1,ENSG00000136193,27
AC007285.6,ENSG00000227014,3
FKBP14,ENSG00000106080,7
PLEKHA8,ENSG00000106086,14
MTURN,ENSG00000180354,12
AC007036.6,ENSG00000227017,4
ZNRF2,ENSG00000180233,7
NOD1,ENSG00000106100,17
GS1-114I9.1,ENSG00000272638,4
GGCT,ENSG00000006625,191
GARS,ENSG00000106105,169
PPP1R17,ENSG00000106341,15
LSM5,ENSG00000106355,313
AVL9,ENSG00000105778,50
KBTBD2,ENSG00000170852,53
FKBP9,ENSG00000122642,3
NT5C3A,ENSG00000122643,252
RP9,ENSG00000164610,106
BBS9,ENSG00000122507,34
DPY19L1,ENSG00000173852,20
HERPUD2,ENSG00000122557,231
RP11-379H18.1,ENSG00000271122,7
SEPT7,ENSG00000122545,913
EEPD1,ENSG00000122547,67
AOAH,ENSG00000136250,338
ELMO1,ENSG00000155849,187
GPR141,ENSG00000187037,13
EPDR1,ENSG00000086289,5
NME8,ENSG00000086288,6
STARD3NL,ENSG00000010270,199
VPS41,ENSG00000006715,78
YAE1D1,ENSG00000241127,35
RALA,ENSG00000006451,197
LINC00265,ENSG00000188185,8
RP11-467D6.1,ENSG00000259826,22
CDK13,ENSG00000065883,76
MPLKIP,ENSG00000168303,327
SUGCT,ENSG00000175600,4
INHBA-AS1,ENSG00000224116,3
C7orf25,ENSG00000136197,3
PSMA2-1,ENSG00000106588,622
MRPL32,ENSG00000106591,301
STK17A,ENSG00000164543,850
COA1,ENSG00000106603,318
BLVRA,ENSG00000106605,497
MRPS24,ENSG00000062582,24
URGCP,ENSG00000106608,65
UBE2D4,ENSG00000078967,66
AC004951.6,ENSG00000228434,48
LINC00957,ENSG00000235314,5
DBNL,ENSG00000136279,647
POLM,ENSG00000122678,110
AEBP1,ENSG00000106624,9
POLD2,ENSG00000106628,169
YKT6,ENSG00000106636,105
NUDCD3,ENSG00000015676,138
DDX56,ENSG00000136271,135
TMED4,ENSG00000158604,438
OGDH,ENSG00000105953,131
ZMIZ2,ENSG00000122515,40
PPIA,ENSG00000196262,1993
H2AFV,ENSG00000105968,684
AC004854.4,ENSG00000234183,10
PURB,ENSG00000146676,40
RP4-673M15.1,ENSG00000272768,16
MYO1G,ENSG00000136286,629
SNHG15,ENSG00000232956,394
CCM2,ENSG00000136280,374
TBRG4,ENSG00000136270,149
IGFBP3,ENSG00000146674,18
AC073115.7,ENSG00000229628,4
TNS3,ENSG00000136205,19
HUS1,ENSG00000136273,142
SUN3,ENSG00000164744,3
UPP1,ENSG00000183696,397
IKZF1,ENSG00000185811,413
FIGNL1,ENSG00000132436,21
GRB10,ENSG00000106070,4
SEC61G,ENSG00000132432,325
LANCL2,ENSG00000132434,29
VOPP1,ENSG00000154978,211
GBAS,ENSG00000146729,254
MRPS17-1,ENSG00000239789,68
PSPH,ENSG00000146733,10
CCT6A,ENSG00000146731,443
SUMF2,ENSG00000129103,276
CHCHD2,ENSG00000106153,1909
NUPR1L,ENSG00000185290,3
ZNF736,ENSG00000234444,18
ZNF680,ENSG00000173041,41
ZNF107,ENSG00000196247,23
ZNF138,ENSG00000197008,78
ZNF273,ENSG00000198039,28
ZNF117,ENSG00000152926,14
ERV3-1,ENSG00000213462,126
ZNF92,ENSG00000146757,120
VKORC1L1,ENSG00000196715,27
GUSB,ENSG00000169919,239
ASL,ENSG00000126522,94
CRCP,ENSG00000241258,48
TPST1,ENSG00000169902,17
LINC00174,ENSG00000179406,4
GS1-124K5.3,ENSG00000223473,11
GS1-124K5.4,ENSG00000237310,20
GS1-124K5.11,ENSG00000229180,12
KCTD7,ENSG00000243335,22
RABGEF1,ENSG00000154710,19
RP11-792A8.4,ENSG00000272831,106
TMEM248,ENSG00000106609,318
SBDS,ENSG00000126524,553
TYW1,ENSG00000198874,63
RP11-166O4.6,ENSG00000273448,9
AUTS2,ENSG00000158321,29
POM121,ENSG00000196313,116
RP11-313P13.5,ENSG00000272843,12
TRIM74,ENSG00000155428,3
NSUN5,ENSG00000130305,138
BAZ1B,ENSG00000009954,106
BCL7B,ENSG00000106635,367
TBL2,ENSG00000106638,53
DNAJC30,ENSG00000176410,108
WBSCR22,ENSG00000071462,449
STX1A,ENSG00000106089,10
ABHD11,ENSG00000106077,80
WBSCR27,ENSG00000165171,4
LIMK1,ENSG00000106683,37
EIF4H,ENSG00000106682,619
LAT2,ENSG00000086730,249
RFC2,ENSG00000049541,120
CLIP2,ENSG00000106665,5
GTF2IRD1,ENSG00000006704,3
GTF2I,ENSG00000077809,47
NCF1,ENSG00000158517,446
GTF2IRD2,ENSG00000196275,54
WBSCR16,ENSG00000174374,35
GTF2IRD2B,ENSG00000174428,70
POM121C,ENSG00000135213,82
HIP1,ENSG00000127946,30
RHBDD2,ENSG00000005486,184
POR,ENSG00000127948,98
STYXL1,ENSG00000127952,81
MDH2,ENSG00000146701,805
HSPB1,ENSG00000106211,332
YWHAG,ENSG00000170027,51
SRCRB4D,ENSG00000146700,4
ZP3,ENSG00000188372,57
DTX2,ENSG00000091073,37
POMZP3,ENSG00000146707,52
CCDC146,ENSG00000135205,9
FGL2,ENSG00000127951,339
GSAP,ENSG00000186088,117
RP5-899E9.1,ENSG00000273341,4
PTPN12,ENSG00000127947,42
RSBN1L-AS1,ENSG00000214293,31
RSBN1L,ENSG00000187257,302
TMEM60,ENSG00000135211,165
PHTF2,ENSG00000006576,85
GNAI1,ENSG00000127955,10
CD36,ENSG00000135218,148
HGF,ENSG00000019991,7
AC074183.4,ENSG00000232019,17
KIAA1324L,ENSG00000164659,5
AC005076.5,ENSG00000224046,17
DMTF1,ENSG00000135164,118
TMEM243,ENSG00000135185,548
TP53TG1,ENSG00000182165,248
CROT,ENSG00000005469,34
ABCB4,ENSG00000005471,11
ABCB1,ENSG00000085563,29
RUNDC3B,ENSG00000105784,4
SLC25A40,ENSG00000075303,55
DBF4,ENSG00000006634,89
ADAM22,ENSG00000008277,4
SRI,ENSG00000075142,717
STEAP4,ENSG00000127954,8
GTPBP10,ENSG00000105793,56
CLDN12,ENSG00000157224,4
CDK14,ENSG00000058091,13
FZD1,ENSG00000157240,13
MTERF,ENSG00000127989,33
AKAP9,ENSG00000127914,323
CYP51A1,ENSG00000001630,17
KRIT1,ENSG00000001631,81
ANKIB1,ENSG00000001629,53
GATAD1,ENSG00000157259,64
PEX1,ENSG00000127980,43
RBM48,ENSG00000127993,67
FAM133B,ENSG00000234545,234
CDK6,ENSG00000105810,73
SAMD9,ENSG00000205413,98
SAMD9L,ENSG00000177409,267
CCDC132,ENSG00000004766,36
GNG11,ENSG00000127920,39
BET1,ENSG00000105829,115
CASD1,ENSG00000127995,11
SGCE,ENSG00000127990,6
PON2,ENSG00000105854,31
PDK4,ENSG00000004799,6
SLC25A13,ENSG00000004864,38
SHFM1,ENSG00000127922,550
ACN9,ENSG00000196636,241
ASNS,ENSG00000070669,47
LMTK2,ENSG00000164715,8
TECPR1,ENSG00000205356,123
BRI3,ENSG00000164713,548
RP4-607J23.2,ENSG00000272782,3
TRRAP,ENSG00000196367,54
AC004893.11,ENSG00000242687,6
SMURF1,ENSG00000198742,18
ARPC1A,ENSG00000241685,331
ARPC1B,ENSG00000130429,2004
PDAP1,ENSG00000106244,497
BUD31,ENSG00000106245,687
PTCD1,ENSG00000106246,27
CPSF4,ENSG00000160917,106
ATP5J2,ENSG00000241468,879
ZNF789,ENSG00000198556,34
ZNF394,ENSG00000160908,238
ZKSCAN5,ENSG00000196652,19
FAM200A,ENSG00000221909,21
ZNF655,ENSG00000197343,220
ZSCAN25,ENSG00000197037,28
CYP3A5,ENSG00000106258,27
TRIM4,ENSG00000146833,118
ZKSCAN1,ENSG00000106261,115
ZSCAN21,ENSG00000166529,17
ZNF3,ENSG00000166526,58
COPS6,ENSG00000168090,515
MCM7,ENSG00000166508,85
AP4M1,ENSG00000221838,38
TAF6,ENSG00000106290,106
CNPY4,ENSG00000166997,60
MBLAC1,ENSG00000214309,7
LAMTOR4,ENSG00000188186,1405
C7orf43,ENSG00000146826,45
GAL3ST4,ENSG00000197093,7
STAG3,ENSG00000066923,37
GATS,ENSG00000160844,5
PVRIG,ENSG00000213413,28
PILRB,ENSG00000121716,168
PILRA,ENSG00000085514,311
ZCWPW1,ENSG00000078487,34
MEPCE,ENSG00000146834,100
PPP1R35,ENSG00000160813,140
RP11-758P17.3,ENSG00000240211,4
TSC22D4,ENSG00000166925,468
AGFG2,ENSG00000106351,46
LRCH4,ENSG00000077454,353
PCOLCE,ENSG00000106333,10
MOSPD3,ENSG00000106330,117
TFR2,ENSG00000106327,13
GNB2,ENSG00000172354,714
GIGYF1,ENSG00000146830,37
POP7,ENSG00000172336,200
SLC12A9,ENSG00000146828,116
RP11-126L15.4,ENSG00000236305,4
TRIP6,ENSG00000087077,23
SRRT,ENSG00000087087,129
UFSP1,ENSG00000176125,8
MUC12,ENSG00000205277,6
RP11-395B7.4,ENSG00000227053,8
TRIM56,ENSG00000169871,89
SERPINE1,ENSG00000106366,3
AP1S1,ENSG00000106367,121
PLOD3,ENSG00000106397,56
ZNHIT1,ENSG00000106400,740
CLDN15,ENSG00000106404,30
FIS1,ENSG00000214253,892
RABL5,ENSG00000128581,36
CUX1,ENSG00000257923,177
SH2B2,ENSG00000160999,72
PRKRIP1,ENSG00000128563,121
ORAI2,ENSG00000160991,195
ALKBH4,ENSG00000160993,80
LRWD1,ENSG00000161036,63
POLR2J,ENSG00000005075,688
RASA4B,ENSG00000170667,3
POLR2J3,ENSG00000168255,121
FAM185A,ENSG00000222011,22
ARMC10,ENSG00000170632,180
NAPEPLD,ENSG00000161048,42
PMPCB,ENSG00000105819,427
DNAJC2,ENSG00000105821,243
PSMC2,ENSG00000161057,386
ORC5,ENSG00000164815,43
RP11-325F22.2,ENSG00000237513,31
LINC01004,ENSG00000228393,54
KMT2E-AS1,ENSG00000239569,154
KMT2E,ENSG00000005483,655
CTB-152G17.6,ENSG00000272918,8
SRPK2,ENSG00000135250,280
PUS7,ENSG00000091127,10
RINT1,ENSG00000135249,36
ATXN7L1,ENSG00000146776,79
CDHR3,ENSG00000128536,19
SYPL1,ENSG00000008282,387
NAMPT,ENSG00000105835,245
RP11-22N19.2,ENSG00000273320,37
CCDC71L,ENSG00000253276,23
PIK3CG,ENSG00000105851,58
PRKAR2B,ENSG00000005249,8
HBP1,ENSG00000105856,193
COG5,ENSG00000164597,50
DUS4L,ENSG00000105865,28
BCAP29,ENSG00000075790,126
AC002467.7,ENSG00000241764,28
CBLL1,ENSG00000105879,107
DLD,ENSG00000091140,179
NRCAM,ENSG00000091129,5
PNPLA8,ENSG00000135241,120
THAP5,ENSG00000177683,31
DNAJB9,ENSG00000128590,382
IMMP2L,ENSG00000184903,94
LRRN3,ENSG00000173114,38
DOCK4,ENSG00000128512,3
ZNF277,ENSG00000198839,227
IFRD1,ENSG00000006652,392
TMEM168,ENSG00000146802,37
C7orf60,ENSG00000164603,42
LINC00998,ENSG00000214194,57
MDFIC,ENSG00000135272,79
TFEC,ENSG00000105967,20
TES,ENSG00000135269,243
CAV1,ENSG00000105974,4
CAPZA2,ENSG00000198898,565
ST7,ENSG00000004866,18
NAA38,ENSG00000128534,399
ING3,ENSG00000071243,142
CPED1,ENSG00000106034,8
WNT16,ENSG00000002745,5
FAM3C,ENSG00000196937,137
AASS,ENSG00000008311,3
NDUFA5,ENSG00000128609,456
WASL,ENSG00000106299,19
RP11-390E23.6,ENSG00000272686,35
POT1,ENSG00000128513,43
ZNF800,ENSG00000048405,114
GCC1,ENSG00000179562,45
ARF5,ENSG00000004059,805
